key,moment,start-period,end-period,link-picture,slogan,link-web-document
banner-01,2021/03/12 00:00,2023/04/10 00:01,2024/05/20 23:59,https://i.imgur.com/zdA922U.png,Capitalist slogan to sell useless things to you,https://www.amazon.com
banner-02,2021/03/17 00:00,2021/03/18 00:00,2021/03/25 00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS9AOQIwWaXwxmh9gu0CVqfFuZAKD1oDJCWSA&usqp=CAU,Capitalist slogan to sell useless things to you,https://www.google.com
banner-03,2021/03/12 00:00,2021/03/12 00:01,2021/03/29 00:01,,Fantastic slogan to sell usefull things to you,
banner-04,2021/03/12 00:00,2021/03/12 00:00,2021/04/12 00:00,,Capitalist slogan to sell useless things to you,https://www.steam.com
banner-05,2022/07/30 00:00,2023/04/10 00:01,2024/04/20 23:59,https://i.imgur.com/Uw7DdZR.png,Fantastic slogan to sell usefull things to you,https://www.twitter.com
banner-06,2021/03/12 00:00,2023/04/10 00:01,2024/05/20 23:59,https://i.imgur.com/FXTO0m0.png,Capitalist slogan to sell useless things to you,https://www.sample.com
banner-07,2021/03/12 00:00,2023/04/10 00:01,2024/05/20 23:59,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQECSbbo1E9T0nk8Qjtr8x-65EMsl6TSqVULw&usqp=CAU,Capitalist slogan to sell useless things to you,https://www.estoesunlink.com
banner-08,2022/07/30 00:00,2023/04/10 00:01,2024/05/20 23:59,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTvp8wELzycorlv2vFH62JRpapmsP_2W7pvqA&usqp=CAU,Fantastic slogan to sell usefull things to you,https://www.null.com
banner-09,2021/03/12 00:00,2023/04/10 00:01,2024/05/20 23:59,https://www.labrujadelpuente.es/archivos/banners_imagenes_15_untitled.jpg,Capitalist slogan to sell useless things to you,https://www.dam02jasuofb.com
banner-10,1996/03/09 17:34,2023/04/10 00:01,2024/05/20 23:59,https://atleticotomelloso.es/wp-content/uploads/2021/08/banner-mexico-lindo1.jpg,Fantastic slogan to sell usefull things to you,
