key,moment,title,author,message,email,further-information
note-01,2021/02/05 23:59,"Tareas de clase","lecturer1 - lecturer1,lecturer1","Para la próxima clase hay que realizar el ejercico 3 y 4 de la página 12","note-01@acme.com",null
note-02,2021/03/12 00:00,"Cambios en la administración","lecturer2 - lecturer2,lecturer2","El director se ha dado de baja para el resto del curso y hemos solicitado una sustitución","note-02@acme.com",null
note-03,2021/05/12 00:01,"Cambios en la administración","lecturer3 - lecturer3,lecturer3","El director se ha dado de baja para el resto del curso y hemos solicitado una sustitución","note-03@acme.com",null
note-04,2022/07/30 00:00,"Cambios en la administración","lecturer4 - lecturer4,lecturer4","El director se ha dado de baja para el resto del curso y hemos solicitado una sustitución","note-04@acme.com",null
note-05,2020/02/12 12:00,"Cambios en la administración","lecturer5 - lecturer5,lecturer5","El director se ha dado de baja para el resto del curso y hemos solicitado una sustitución","note-05@acme.com",null
note-06,2018/08/21 11:59,"Cambios en la administración","lecturer6 - lecturer6,lecturer6","El director se ha dado de baja para el resto del curso y hemos solicitado una sustitución","note-06@acme.com",null
note-07,2016/01/08 12:01,"Cambios en la administración","lecturer7 - lecturer7,lecturer7","El director se ha dado de baja para el resto del curso y hemos solicitado una sustitución","note-07@acme.com",null
note-08,2019/11/26 12:00,"Changes in administration","lecturer8 - lecturer8,lecturer8","El director se ha dado de baja para el resto del curso y hemos solicitado una sustitución","note-08@acme.com",null
note-09,2021/07/17 16:34,"Zmiany w administracji","lecturer9 - lecturer9,lecturer9","El director se ha dado de baja para el resto del curso y hemos solicitado una sustitución","note-09@acme.com",null
note-10,2022/05/28 08:51,"Mutationes in administratione","lecturer10 - lecturer10,lecturer10","El director se ha dado de baja para el resto del curso y hemos solicitado una sustitución","note-10@acme.com",null
note-11,2020/10/24 01:36,"Tareas de clase","lecturer11 - lecturer11,lecturer11","Moderator ad reliquum cursum abstractus est et postulavimus substitutionem","note-11@acme.com",null
note-12,2019/04/14 03:14,"Tareas de clase","lecturer12 - lecturer12,lecturer12","De directeur is de rest van de cursus vertrokken en we hebben om een vervanging gevraagd","note-12@acme.com",null
note-13,2020/07/31 11:37,"Tareas de clase","lecturer13 - lecturer13,lecturer13","El director se ha dado de baja para el resto del curso y hemos solicitado una sustitución","ejemplo@gmail.com",null
note-14,2018/09/12 15:38,"Cambios en la administración","lecturer14 - lecturer14,lecturer14","El director se ha dado de baja para el resto del curso y hemos solicitado una sustitución","note-14@acme.com","http://google.com"
note-15,2021/12/05 19:08,"Cambios en la administración","lecturer15 - lecturer15,lecturer15","El director se ha dado de baja para el resto del curso y hemos solicitado una sustitución","note-15@acme.com","https://ev.us.es"
